,FACILITYNAME
0,CHEVRON PRODUCTS CO - SALT LAKE REFINERY
1,COTTONWOOD CABINETS
2,PHILLIPS 66 CO NORTH SALT LAKE PRODUCT TERMINAL
4,TESORO REFINING & MARKETING COMPANY LLC - SLC
7,PENNZOIL PRODUCTS CO ROOSEVELT REFINERY
17,SILVER EAGLE REFINING WOODS CROSS
18,CENEX SUPPLY & MARKETING INC
19,PAX CO
20,GENEVA STEEL LLC
27,LEVOLOR-KIRSCH WINDOW FASHIONS
29,HOLLYFRONTIER WOODS CROSS REFINING LLC
31,REILLY INDUSTRIES INC
49,US MAGNESIUM LLC
50,BIG WEST OIL LLC
67,US DOD USAF HILL AFB
69,US ARMY DUGWAY PROVING GROUND
99,CLEAN HARBORS GRASSY MOUNTAIN LLC
100,CLEAN HARBORS ARAGONITE LLC
113,BRENNTAG PACIFIC INC
114,STEEL COATINGS INC
116,GSC FOUNDRIES
125,THATCHER CO
126,EASTON TECHNICAL PRODUCTS
127,KENNECOTT UTAH COPPER SMELTER & REFINERY
128,FRIT INDUSTRIES INC
129,TTM TECHNOLOGIES INC
130,MATERION NATURAL RESOURCES INC MILL
133,FAIRCHILD SEMICONDUCTOR
134,BONANZA POWER PLANT
136,INTERMOUNTAIN POWER GENERATING STATION
137,PACIFICORP ENERGY-HUNTINGTON PLANT
138,METALCRAFT TECHNOLOGIES INC
139,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT
140,PACIFICORP HUNTER PLANT
145,PRAXAIR INC
146,WESTERN ZIRCONIUM
149,PRECISION TECHNOLOGY INC
150,SUN PRODUCTS CORPORATION
151,VALMONT COATINGS INTERMOUNTAIN GALVANIZING
154,OMG APEX
155,"WEIGHT WATCHERS GOURMET FOOD, CO"
156,PHILIPS SEMICONDUCTORS
157,VAREX IMAGING CORP
159,FUTURA INDUSTRIES
160,PARAMAX SYSTEMS CORP PARAMAX
161,NUCOR STEEL - A DIV OF NUCOR CORP
164,VIKTRON UTAH
168,COMPEQ INTERNATIONAL
173,TRINITY HIGHWAY PRODUCTS LLC PLT NO 1033
184,SUNNYSIDE COGENERATION ASSOCIATES
201,AMERICAN PACIFIC CORP UTAH OPERATIONS
203,FOX VALLEY TANNING INC
204,SAPA EXTRUSIONS INC
206,KROGER CORP SMITHS FOOD & DRUG DAIRY DIV
222,BLANCHARD METALS PROCESSING CO
236,WESTERN DAIRYMEN CO-OP INC
241,ASAHI REFINING USA INC
244,ATK LAUNCH SYSTEMS-BACCHUS
247,ENSIGN-BICKFORD CO
255,OC TANNER MANUFACTURING CO
262,STERIGENICS-SALT LAKE CITY FACILITY
265,ABBOTT CRITICAL CARE SYSTEMS
273,HEXCEL CORP
274,VERMAX
278,PARISH CHEMICAL CO
285,FABALL ENTERPRISES OF UTAH
287,U.S. ARMY TOOELE ARMY DEPOT
309,HURCO INDUSTRIES
315,EIDSON BROWN-MINNEAPOLIS TANK CO
333,MARK STEEL CORP JORDAN RIVER PLANT
334,"SIMPSON STEEL FABRICATORS &, ERECTORS INC"
335,CB&I CLEARFIELD
337,CHICAGO BRIDGE & IRON CONSTRUCTORS INC
340,MCWANE DUCTILE-UTAH
342,NUCOR CORP VULCRAFT DIV
345,MARK STEEL CORP PIONEER PLANT
346,EIMCO PROCESS EQUIPMENT
347,ATWOOD MOBILE PRODUCTS
360,FLOWSERVE/SPRINGVILLE
361,STAR FOUNDRY & MACHINE
362,ROCKY MOUNTAIN FABRICATION
375,PETERSEN INC
378,MAY FOUNDRY & MACHINE CO
390,EXPRESS METAL FABRICATORS LLC-ST GEORGE STEEL DIV
395,DAW TECHNOLOGIES
418,USA INDUSTRIES
433,CERRO WIRE LLC
436,EDO CORP WESTERN DIV
551,OWENS CORNING INSULATING SYSTEM LLC-SALT LAKE CITY
579,ENGELHARD CORP
595,WEIR MINERALS LINATEX- SALT LAKE CITY
606,ATK LAUNCH SYSTEMS PROMONTORY
608,THIOKOL PROPULSION CLEARFIELD OPERATIONS
628,BALLARD MEDICAL PRODUCTS
629,PUROLATOR PRODUCTS INC
646,AQUARIUS KITCHEN & BATH
648,KARMAN KITCHENS INC
651,FASHION CABINET MANUFACTURING INC.
652,CLASSIC CABINETS INC
653,QUALITY STEEL CORP OF MS
655,OLYMPIA SALES CO
742,ALLIANT TECHSYSTEMS PLANT 2
743,MIDWESTERN FABRICATORS INC
744,COMPANION SYSTEMS INC
745,VACATION VILLAGE INC.
748,INTERMOUNTAIN DESIGN INC
750,ALCOA COMPOSITES INC FIBERTEK DIV
756,FABRI-NETICS
757,VERMAX KITCHEN & BATH
758,APPLIED COMPOSITE TECHNOLOGY MANUFACTURING
771,ARROW DYNAMICS INC
772,FISHER CO
792,EXXEL CORP
831,POWDER RIVER INC
838,VALLEY PAINT MANUFACTURING
