0,Cumene,98828
18,"2,4-D (2,4-dichlorophenoxyacetic acid) (See also Chlorophenoxy herbicides)",94757
20,Quinoline,91225
26,Naphthalene,91203
99,Pentachlorophenol (see also Polychlorophenols),87865
101,Creosotes,8001589
113,Trichloroethylene,79016
125,Strong-inorganic-acid mists containing sulfuric acid (see Acid mists),7664939
262,Ethylene oxide,75218
272,Dichloromethane (Methylene chloride),75092
314,Cobalt and cobalt compounds,7440484
320,Cobalt metal without tungsten carbide,7440484
326,Cadmium and cadmium compounds,7440439
333,"Nickel, metallic and alloys",7440020
430,Lead,7439921
464,Benzene,71432
546,"N,N-Dimethylformamide",68122
547,Chloroform,67663
549,Formaldehyde,50000
575,Polychlorinated biphenyls,1336363
579,Molybdenum trioxide,1313275
590,Tetrachloroethylene (Perchloroethylene),127184
606,"1,4-Dioxane",123911
628,Bis(2-ethylhexyl) phthalate (see Di(2-ethylhexyl) phthalate),117817
636,Di(2-ethylhexyl)phthalate,117817
644,Diethanolamine,111422
646,Methyl isobutyl ketone,108101
711,"1,2-Dichloroethane",107062
716,"1,3-Butadiene",106990
735,Ethylene dibromide,106934
740,Epichlorohydrin,106898
742,"4,4'-Methylenedianiline",101779
743,Styrene,100425
827,Ethylbenzene,100414
